index,name,name_pub,manmask,record,blue_before,blue_after,quanta,ew_before,ew_after,dew_pct,band
13,ESO 499-41_COS,MCG-04-24-017,0,REJECT_ALL_iter01_baseline,680.3185584841262,1299.9586958205564,9,4.388147338643033,22.35937486704964,409.5402032230744,large
15,Mrk 352_COS,Z 501-58,0,REJECT_ALL_iter01_baseline,-1255.698686010786,-78.78126855460229,17,293.29533075698674,251.32767054683495,-14.30901068279351,large
17,Mrk 1044_COMBINED,MCG-02-07-024,3,BEST_iter06_peakabs,197.48560807496355,266.5087642305957,1,80.01236049759146,74.56705801474432,-6.805576599644319,small
18,NGC-7469_STIS,NGC 7469,3,BEST_iter07_peakblueabs,266.5087642305957,335.5125590520637,1,175.99589836696137,170.70640133467683,-3.005466082655883,small
19,NGC 5548_FOS,NGC 5548,3,BEST_iter03_fullabs,-9.68066706248958,-78.78126855460229,-1,244.95947475898137,258.84130921698244,5.6669922531714985,small
20,3C 84_COMBINED,NGC 1275,0,REJECT_ALL_iter03_allmasks,9574.141002142673,-3274.0790458734505,-186,0.0,40.94621802284564,,large
20,3C 84_FOS,NGC 1275,0,REJECT_ALL_iter02_combmasks,4651.1539355138375,4651.1539355138375,0,20.632905435263964,20.683913370983,0.24721644694719835,small
22,ESO 462-9_COS,MCG-05-48-003,0,REJECT_ALL_iter03_allmasks,1231.1678756744095,59.38121176138286,-17,445.2373816135964,122.92672428918073,-72.3907449451619,large
23,Mrk 1310_STIS,Mrk 1310,3,BEST_iter03_allmasks,197.48560807496355,197.48560807496355,0,1179.334821572151,1253.993166424638,6.330546973332077,small
25,Mrk 40_STIS,MCG+09-19-073,3,BEST_iter01_baseline,-9.68066706248958,-9.68066706248958,0,733.3958107371818,722.2504889731156,-1.5196871322271914,small
26,Mrk 50_STIS,Mrk   50,3,BEST_iter04_gtr_prior,-147.88187004671502,-147.88187004671502,0,168.3179590446759,168.24197402727742,-0.045143737382353596,unchanged
27,ICRF J171914.4+485849_FOS,Z 252-40,0,REJECT_ALL_iter03_allmasks,2261.3070191289908,2261.3070191289908,0,125.72523067152012,134.26111870567226,6.789319843408112,small
28,UGC 12163_COMBINED,UGC 12163,0,REJECT_ALL_iter02_noncivmasks,266.5087642305957,335.5125590520637,1,32.8544196375405,19.479657715959497,-40.70917115302983,large
28,UGC 12163_FOS,UGC 12163,0,REJECT_ALL_iter03_allmasks,-78.78126855460229,-78.78126855460229,0,59.38201726596459,59.38201778832558,8.796619056402141e-07,unchanged
29,Mrk 335_COMBINED,MRK 0335,3,REJECT_ALL_iter02_noncivmasks,59.38121176138286,-9.68066706248958,-1,96.63557988845346,89.96911008585224,-6.898566563471073,small
29,Mrk 335_FOS,MRK 0335,3,BEST_iter08_gtr_plus1510abs,-78.78126855460229,-78.78126855460229,0,80.70497435749922,80.70543987179614,0.0005768099186275517,unchanged
30,NGC 863_COS,NGC   863,3,BEST_iter04_gtr_prior,-78.78126855460229,-147.88187004671502,-1,225.04952557288863,245.8356722892428,9.236254403754343,small
31,ESO 31-8_COS,ESO  31-8,0,REJECT_ALL_iter03_allmasks,-562.8339830136417,-147.88187004671502,6,141.52992669794904,94.59192231489132,-33.1647203373687,large
32,Z 291-51_STIS,Z 291-51,3,BEST_iter06_gtr_hand_z69,-9.68066706248958,-78.78126855460229,-1,218.22007007173684,228.19983614415636,4.573257661011112,small
33,Z 229-15_STIS,Z 229-15,3,BEST_iter03_allmasks,266.5087642305957,266.5087642305957,0,241.25310407403236,239.20078023824095,-0.8506932350854329,small
35,2MASX-J00391586-5117013_COS,[WPV85] 007,2,BEST_iter11_gtr_hand2,404.4969925394556,1506.214988254143,16,22.670942111031714,39.525735960361594,74.34536141807848,large
36,Mrk 290_COS,Mrk  290,3,BEST_iter02_gtr_hand,266.5087642305957,-355.2804811936978,-9,199.36663809056137,171.65402251487015,-13.900327477610817,large
37,Mrk 279_STIS,Z 336-28,3,BEST_iter01_gtr_prior,-78.78126855460229,-9.68066706248958,1,105.3015884087532,127.516904628956,21.096848163361745,large
38,Mrk 493_STIS,UGC 10120,3,BEST_iter04_itermasks,197.48560807496355,128.44309058521125,-1,155.7427658228923,153.9470035518104,-1.1530309363607878,small
39,Mrk 817_STIS,Z 296-15,2,BEST_iter05_gtr_hand2,128.44309058521125,-78.78126855460229,-3,88.39276888309928,73.25671949529762,-17.12362852646839,large
40,AKN120_STIS,ARK 120,0,REJECT_ALL_iter03_allmasks,1231.1678756744095,1437.4822521104009,3,112.13517239554838,117.55839619826212,4.836327163776697,small
42,RXS-J00057-5007_COS,LEDA     407,3,BEST_iter03_allmasks,-286.1411570333448,-424.45852802229103,-2,66.50684415275748,68.72832943322037,3.3402355934382126,small
44,Mrk 509_COMBINED,MRK 0509,3,BEST_iter01_baseline,197.48560807496355,128.44309058521125,-1,142.45975672391,146.0791738796739,2.54065936865132,small
45,Pic A_FOS,PICTOR A,3,BEST_iter09_gtr_hand,266.5087642305957,335.5125590520637,1,244.9974749938436,278.09066513343964,13.507563757719385,large
46,Mrk 110_COS,Mrk  110,2,BEST_iter05_gtr_hand,-78.78126855460229,-286.1411570333448,-3,368.52083999458125,446.4969000618997,21.15919959057539,large
47,Mrk 1392_STIS,Z  48-115,3,BEST_iter04_gtr_hand,473.48142602680343,473.48142602680343,0,135.124011723317,135.12404907218004,2.764043381728122e-05,unchanged
