order,category,row_num,designation,name_pub,name_source,name_mast_key,name_simbad,sulentic,z,z_dv_kms,z_needs_check,sdss_flag,oiii_observable,validation_route,work_status,manmask,civ_frac_best,ciii_frac_best,mgii_frac_best,n_spectra,instruments_master,stems,measurement_provenance,companion_within_30as
51,no_sdss,397,J153638.43+543332.5,Mrk  486,simbad,Mrk 486,Mrk  486,,0.0389,14.4,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;FOS,Mrk 486_COS;Mrk 486_FOS,,
52,no_sdss,472,J235152.77+261932.5,LEDA 1771917,simbad,LEDA 1771917,LEDA 1771917,,0.04,1441.3,yes,,False,ned_simbad,civ_partial,3,0.7571,0.0,0.0,1,COS,LEDA 1771917_COS,gtr_reproducible,
53,no_sdss,82,J070841.47-493307.1,1H 0707-495,sulentic,LEDA 88588,LEDA   88588,yes,0.0408,14.4,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,LEDA 88588_STIS,gtr_reproducible,
54,no_sdss,278,J125614.18+565224.9,Mrk 231,mast,Mrk 231,[KGP99] 125405.0000+570838.098,,0.04147,1.4,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,Mrk 231_COS;Mrk 231_FOS;Mrk 231_STIS,,
55,no_sdss,81,J065938.13+541147.6,MCG+09-12-016,simbad,MKN 374,MCG+09-12-016,,0.0426,14.4,no,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,
56,no_sdss,47,J020615.99-001729.2,Z 387-34,simbad,Mrk 1018,Z 387-34,,0.04261,1.4,no,,False,ned_simbad,fit,,1.0,0.0,0.0,2,COS;FOS,Mrk 1018_COS;Mrk 1018_FOS,,
57,no_sdss,54,J023437.85-084716.7,NGC   985,simbad,NGC 985,NGC   985,,0.04271,1.4,no,,False,uv_anchor,fit,1,1.0,1.0,0.0,2,COS;STIS,NGC 985_COS;NGC 985_STIS,,
58,no_sdss,268,J124210.60+331702.6,LEDA   42648,simbad,IRASF12397+3333,LEDA   42648,,0.043513,0.1,no,,False,ned_simbad,no_civ_coverage,1,0.0,0.0,0.0,1,COS,IRASF12397+3333_COS,,
59,no_sdss,170,J102531.28+514034.8,Mrk  142,simbad,Mrk 142,Mrk  142,,0.04494,1.4,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,Mrk 142_STIS,gtr_reproducible,
60,no_sdss,35,J012345.74-584820.8,Fairall 9,sulentic,ESO 113-45,ESO 113-45,yes,0.0461,14.3,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,3,COS;FOS;STIS,ESO 113-45_COS;ESO 113-45_FOS;ESO 113-45_STIS,,
61,no_sdss,12,J003620.92+453953.2,Z 535-12,simbad,Z 535-12,Z 535-12,,0.047643,0.1,no,,False,ned_simbad,civ_partial,3,0.7786,0.0,0.0,1,COS,Z 535-12_COS,gtr_reproducible,
62,no_sdss,166,J101932.86-032014.9,Z   8-93,simbad,Mrk 1253,Z   8-93,,0.049986,0.1,no,,False,ned_simbad,civ_partial,3,0.7367,0.0,0.0,1,COS,Mrk 1253_COS,gtr_reproducible,
63,no_sdss,136,J093701.05+010544.0,Z   7-13,simbad,PG 0934+0119,Z   7-13,,0.0503,14.3,no,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,
64,no_sdss,439,J184208.77+794616.6,3C 390.3,sulentic,3C390.3,[D81b] 3C 390.3 C,yes,0.0555,14.2,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,1,FOS,3C390.3_FOS,,
65,no_sdss,438,J183503.40+324146.4,Z 173-14,simbad,ICRF J183503.3+324146,Z 173-14,,0.05787,1.4,no,,False,uv_anchor,no_civ_coverage,0,0.0,0.0,1.0,1,STIS,ICRF J183503.3+324146_STIS,,
66,no_sdss,20,J005050.74+353643.0,2MASS J00505073+3536429,simbad,2MASS J00505073+3536429,2MASS J00505073+3536429,,0.058,141.7,yes,,False,ned_simbad,civ_partial,1,0.6833,0.0,0.0,1,COS,2MASS J00505073+3536429_COS,,
67,no_sdss,164,J101420.67-041840.4,QSO B1011-040,simbad,QSO B1011-040,QSO B1011-040,,0.058314,0.1,no,,False,ned_simbad,civ_partial,3,0.7679,0.0,0.0,1,COS,QSO B1011-040_COS,alex_mask_NOT_reproducible,
68,no_sdss,451,J213622.98-622401.0,LEDA   89176,simbad,LEDA 89176,LEDA   89176,,0.059,141.5,yes,,False,ned_simbad,no_civ_coverage,,0.0,0.0,0.0,1,COS,LEDA 89176_COS,,
69,no_sdss,211,J112916.72-042407.4,Mrk 1298,simbad,Mrk 1298,Mrk 1298,,0.06,1414.1,yes,,False,ned_simbad,no_civ_coverage,1,0.0,0.0,0.0,1,COS,Mrk 1298_COS,,
70,no_sdss,22,J005334.97+124136.2,UGC 00545,sulentic,Mrk 1502,Mrk 1502,yes,0.0605,14.1,no,,False,uv_anchor,fit,,1.0,1.0,1.0,3,COS;FOS;STIS,Mrk 1502_COS;Mrk 1502_FOS;Mrk 1502_STIS,,
71,no_sdss,26,J005720.03-222256.2,TON S180,sulentic,TON-S180,Ton S 180,yes,0.062,141.1,yes,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,TON-S180_STIS,alex_mask_NOT_reproducible,
72,no_sdss,450,J213227.87+100818.9,Mrk 1513,simbad,Mrk 1513,Mrk 1513,,0.062,141.1,yes,,False,ned_simbad,civ_partial,,0.7071,0.0,0.0,2,COS;STIS,Mrk 1513_COS;Mrk 1513_STIS,,
73,no_sdss,28,J010027.10-511354.1,LEDA 3095485,simbad,LEDA 3095485,LEDA 3095485,,0.062817,0.1,no,,False,ned_simbad,fit,3,1.0,0.0,0.0,2,COS;STIS,LEDA 3095485_COS;LEDA 3095485_STIS,,
74,no_sdss,462,J225405.84-173455.1,MR 2251-178,sulentic,MR 2251-178,NAME MR 2251-178,yes,0.0638,14.1,no,,False,uv_anchor,fit,,1.0,1.0,1.0,3,COS;FOS;STIS,MR 2251-178_COS;MR 2251-178_FOS;MR 2251-178_STIS,,
75,no_sdss,21,J005154.75+172558.4,Mrk 1148,simbad,Mrk 1148,Mrk 1148,,0.064,140.9,yes,,False,ned_simbad,civ_partial,3,0.7714,0.0,0.0,1,COS,Mrk 1148_COS,gtr_reproducible,
76,no_sdss,110,J084742.47+344503.9,Ton  951,simbad,Ton 951,Ton  951,,0.064,140.9,yes,,False,uv_anchor,civ_partial,1,0.0893,0.0,1.0,2,COS;FOS,Ton 951_COS;Ton 951_FOS,,
77,no_sdss,260,J123203.61+200929.5,Z  99-79,simbad,Mrk 771,Z  99-79,,0.064,140.9,yes,,False,ned_simbad,no_civ_coverage,0,0.0,0.0,0.0,2,COS;STIS,Mrk 771_COS;Mrk 771_STIS,,
78,no_sdss,412,J161519.05-093613.2,2MASS J16151905-0936132,simbad,2MASS J16151905-0936132,2MASS J16151905-0936132,,0.06496,1.4,no,,False,ned_simbad,no_civ_coverage,,0.0,0.0,0.0,1,COS,2MASS J16151905-0936132_COS,,
79,no_sdss,302,J132519.25-382453.9,2MASX J13251937-382452,sulentic,LEDA 88835,LEDA   88835,yes,0.0667,14.1,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,2,COS;STIS,LEDA 88835_COS;LEDA 88835_STIS,,
80,no_sdss,69,J043829.19-614758.9,LEDA 3095694,simbad,LEDA 3095694,LEDA 3095694,,0.069001,0.1,no,,False,ned_simbad,no_civ_coverage,,0.0,0.0,0.0,1,COS,LEDA 3095694_COS,,
81,no_sdss,251,J122144.09+751838.0,MRK 0205,sulentic,Mrk 205,Mrk  205,yes,0.0711,14.0,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,FOS;STIS,Mrk 205_FOS;Mrk 205_STIS,,
82,no_sdss,378,J144207.46+352622.8,MRK 0478,sulentic,Mrk 478,Mrk  478,yes,0.0771,13.9,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,Mrk 478_COS;Mrk 478_FOS;Mrk 478_STIS,,
83,no_sdss,440,J185801.13+485023.3,1RXS J185800.9+485020,simbad,1RXS J185800.9+485020,1RXS J185800.9+485020,,0.079,138.9,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,COS,1RXS J185800.9+485020_COS,gtr_reproducible,
84,no_sdss,445,J200552.99-413442.1,LEDA 3096578,simbad,LEDA 3096578,LEDA 3096578,,0.079632,0.1,no,,False,ned_simbad,no_civ_coverage,,0.0,0.0,0.0,1,COS,LEDA 3096578_COS,,
85,no_sdss,15,J004342.46+372519.1,1RXS J004343.6+372521,simbad,LEDA 2100384,1RXS J004343.6+372521,,0.08,1387.9,yes,,False,ned_simbad,no_civ_coverage,,0.0,0.0,0.0,1,COS,LEDA 2100384_COS,,
86,no_sdss,242,J121417.66+140312.4,PG 1211+143,sulentic,PB 3894,PB  3894,yes,0.0811,13.9,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,3,COS;FOS;STIS,PB 3894_COS;PB 3894_FOS;PB 3894_STIS,,
87,no_sdss,261,J123235.82+060309.9,2MASS J12323582+0603098,simbad,2MASS J12323582+0603098,2MASS J12323582+0603098,,0.083473,0.1,no,,False,ned_simbad,no_civ_coverage,1,0.0,0.0,0.0,1,COS,2MASS J12323582+0603098_COS,,
88,no_sdss,369,J142906.47+011705.3,Mrk 1383,simbad,Mrk 1383,Mrk 1383,,0.086,138.0,yes,,False,ned_simbad,fit,3,0.9693,0.0,0.0,1,STIS,Mrk 1383_STIS,gtr_reproducible,
89,no_sdss,320,J135315.83+634545.5,PG 1351+640,sulentic,PG1351+640,2XMM J135315.8+634546,yes,0.0882,13.8,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,PG1351+640_COS;PG1351+640_FOS;PG1351+640_STIS,,
90,no_sdss,345,J141348.31+440013.6,LEDA   50824,simbad,LEDA 50824,LEDA   50824,,0.089,137.6,yes,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,LEDA 50824_COS;LEDA 50824_FOS;LEDA 50824_STIS,,
91,no_sdss,5,J001031.01+105829.5,Mrk 1501,simbad,Mrk 1501,Mrk 1501,,0.08934,1.4,no,,False,uv_anchor,no_civ_coverage,0,0.0,0.0,1.0,2,COS;FOS,Mrk 1501_COS;Mrk 1501_FOS,,
92,no_sdss,94,J081058.59+760241.8,2MASS J08105865+7602424,simbad,2MASS J08105865+7602424,2MASS J08105865+7602424,,0.1,13626.9,yes,,False,ned_simbad,fit,2,1.0,0.0,0.0,2,COS;STIS,2MASS J08105865+7602424_COS;2MASS J08105865+7602424_STIS,,
93,no_sdss,460,J224841.20-510953.1,2MASS J22484115-5109532,simbad,2MASS J22484115-5109532,2MASS J22484115-5109532,,0.1,13626.9,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,COS,2MASS J22484115-5109532_COS,gtr_reproducible,"2MASX J22484165-5109338 (Sy1, 19"")"
94,no_sdss,55,J024309.60-721648.4,LEDA   10293,simbad,LEDA 10293,LEDA   10293,,0.102,136.0,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,COS,LEDA 10293_COS,gtr_reproducible,
95,no_sdss,67,J042600.77-571201.1,LB  1727,simbad,LB 1727,LB  1727,,0.104,135.8,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,COS,LB 1727_COS,gtr_reproducible,
96,no_sdss,416,J162011.29+172425.7,Mrk  877,simbad,PG 1617+175,Mrk  877,,0.114,134.6,yes,,False,ned_simbad,no_civ_coverage,,0.0,0.0,0.0,1,COS,PG 1617+175_COS,,
97,no_sdss,34,J012151.53-282057.8,Ton S 210,simbad,Ton S 210,Ton S 210,,0.116,134.3,yes,,False,ned_simbad,fit,1,1.0,0.0,0.0,2,COS;STIS,Ton S 210_COS;Ton S 210_STIS,,
98,no_sdss,258,J123050.01+011521.5,2MASS J12305003+0115226,simbad,2MASS J12305003+0115226,2MASS J12305003+0115226,,0.117,134.2,yes,,False,ned_simbad,fit,1,1.0,0.0,0.0,2,COS;STIS,2MASS J12305003+0115226_COS;2MASS J12305003+0115226_STIS,,
99,no_sdss,13,J003623.00+431640.1,LEDA 3095439,simbad,LEDA 3095439,LEDA 3095439,,0.12,1338.4,yes,,False,ned_simbad,fit,3,0.8389,0.0,0.0,1,COS,LEDA 3095439_COS,gtr_reproducible,
100,no_sdss,468,J232554.24+215314.0,SWIFT J2325.6+2157,simbad,SWIFT J2325.6+2157,SWIFT J2325.6+2157,,0.12,1338.4,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,COS,SWIFT J2325.6+2157_COS,gtr_reproducible,
101,no_sdss,377,J143816.15-065820.6,LEDA   52314,simbad,LEDA 52314,LEDA   52314,,0.126,133.1,yes,,False,uv_anchor,fit,2,1.0,1.0,0.9684,2,COS;STIS,LEDA 52314_COS;LEDA 52314_STIS,,
102,no_sdss,77,J062307.69-643620.7,QSO J0623-6436,simbad,QSO J0623-6436,QSO J0623-6436,,0.129,132.8,yes,,False,ned_simbad,fit,3,0.839,0.0,0.0,1,COS,QSO J0623-6436_COS,alex_mask_NOT_reproducible,
103,no_sdss,410,J161357.19+654309.9,Mrk  876,simbad,Mrk 876,Mrk  876,,0.129,132.8,yes,,False,ned_simbad,fit,1,0.9785,0.0,0.0,2,COS;STIS,Mrk 876_COS;Mrk 876_STIS,,
104,no_sdss,355,J141903.90-131044.8,[HB89] 1416-129,sulentic,PG1416-129,[OKM2018] SWIFT J1419.0-1323,yes,0.1294,13.3,no,,False,uv_anchor,fit,3,1.0,1.0,0.0,1,FOS,PG1416-129_FOS,gtr_reproducible,
105,no_sdss,108,J084445.26+765309.4,MCG+13-07-002,simbad,MCG+13-07-002,MCG+13-07-002,,0.132302,0.1,no,,False,ned_simbad,fit,3,0.8849,0.0,0.0,1,COS,MCG+13-07-002_COS,gtr_reproducible,
106,no_sdss,419,J162756.11+552231.5,SBS 1626+554,sulentic,QSO B1626+5529,QSO B1626+5529,yes,0.1326,13.2,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,2,COS;FOS,QSO B1626+5529_COS;QSO B1626+5529_FOS,,
107,no_sdss,19,J004818.98+394111.6,2MASS J00481898+3941116,simbad,ZTF J004818.97+394111.8,2MASS J00481898+3941116,,0.135,132.1,yes,,False,ned_simbad,fit,3,0.8806,0.0,0.0,1,COS,ZTF J004818.97+394111.8_COS,gtr_reproducible,
108,no_sdss,11,J002913.71+131603.8,PG 0026+129,sulentic,LEDA 1790,LEDA    1790,yes,0.1451,13.1,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,LEDA 1790_COS;LEDA 1790_FOS;LEDA 1790_STIS,,
109,no_sdss,156,J100532.72-241716.1,LEDA   82580,simbad,LEDA 82580,LEDA   82580,,0.154,129.9,yes,,False,ned_simbad,fit,1,0.9086,0.0,0.0,1,COS,LEDA 82580_COS,,
110,no_sdss,24,J005452.13+252539.0,PG 0052+251,sulentic,LEDA 3237,LEDA    3237,yes,0.1543,13.0,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,3,COS;FOS;STIS,LEDA 3237_COS;LEDA 3237_FOS;LEDA 3237_STIS,,
111,no_sdss,257,J122906.70+020308.0,3C 273,sulentic,3C 273,3C 273,yes,0.1583,12.9,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,3C 273_COS;3C 273_FOS;3C 273_STIS,,
112,no_sdss,331,J140516.21+255533.6,FBQS J140516.1+255534,sulentic,PG1402+261,Ton  182,yes,0.1633,12.9,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,2,FOS;STIS,PG1402+261_FOS;PG1402+261_STIS,,
