index,common_name,name_pub,manmask,blue_before,blue_after,quanta,ew_before,ew_after,dew_pct,disposition,record
61,Z 535-12,Z 535-12,2,-147.88187004671502,-217.00183287294783,-1,274.75306014000057,429.5469062349057,56.339261887030425,REVIEW,BEST_iter08_gtr_plus_spike_high
62,Mrk 1253,Z   8-93,3,680.3185584841262,887.0008002684879,3,313.4875749681148,304.0584395016921,-3.0078179230490343,"small shift, adopt replayed value",BEST_iter04_gtr_prior
64,3C390.3,3C 390.3,2,611.3922089991388,611.3922089991388,0,229.4030897743993,240.13129020679503,4.67657189924779,"small shift, adopt replayed value",BEST_iter04_gtr_prior
66,2MASS J00505073+3536429,2MASS J00505073+3536429,3,266.5087642305957,404.4969925394556,2,362.6815937992602,297.03338519684866,-18.100783090400512,REVIEW,BEST_iter04_gtr_prior
67,QSO B1011-040,QSO B1011-040,3,266.5087642305957,266.5087642305957,0,49.44822460975603,42.06871169165862,-14.92371662751558,REVIEW,BEST_iter01_baseline
70,Mrk 1502,UGC 00545,2,1231.1678756744095,1231.1678756744095,0,26.430498157223195,26.649491225190037,0.8285620144733954,"small shift, adopt replayed value",BEST_iter01_baseline
71,TON-S180,TON S180,3,749.2255466349936,749.2255466349936,0,33.5807577193313,33.67942934549778,0.29383382885871057,"small shift, adopt replayed value",BEST_iter01_baseline
72,Mrk 1513,Mrk 1513,3,266.5087642305957,266.5087642305957,0,187.1738693058159,178.63162122200455,-4.563803759302812,"small shift, adopt replayed value",BEST_iter01_gtr_prior
73,LEDA 3095485,LEDA 3095485,3,266.5087642305957,266.5087642305957,0,49.57331915695746,49.56161022256701,-0.02361942792931763,carry over unchanged,BEST_iter04_gtr_prior
74,MR 2251-178,MR 2251-178,3,611.3922089991388,611.3922089991388,0,518.4625939996093,522.7458584677456,0.8261472510665848,"small shift, adopt replayed value",BEST_iter02_gtr_junkmasked
75,Mrk 1148,Mrk 1148,3,197.48560807496355,-147.88187004671502,-5,206.30618718113283,181.1355746976765,-12.200609602346542,REVIEW,BEST_iter03_allmasks
79,LEDA 88835,2MASX J13251937-382452,3,2740.8098200686536,2672.3675039368018,-1,17.420058807736115,18.037421683076627,3.5439769874160527,"small shift, adopt replayed value",BEST_iter02_gtr_prior_zNED
81,Mrk 205,MRK 0205,3,197.48560807496355,197.48560807496355,0,106.60523762085197,106.6111181885496,0.005516208986415063,carry over unchanged,BEST_iter04_gtr_prior
82,Mrk 478,MRK 0478,3,680.3185584841262,680.3185584841262,0,44.752536312043866,44.65393922884188,-0.22031619060538646,"small shift, adopt replayed value",BEST_iter04_gtr_stismasks
83,1RXS J185800.9+485020,1RXS J185800.9+485020,3,128.44309058521125,128.44309058521125,0,247.1332850361676,247.03655586648804,-0.03914048634338847,carry over unchanged,BEST_iter08_gtr_hand2
86,PB 3894,PG 1211+143,3,128.44309058521125,128.44309058521125,0,97.48457065133408,94.11019793368082,-3.461442867427842,"small shift, adopt replayed value",BEST_iter07_gtr_hand
88,Mrk 1383,Mrk 1383,3,611.3922089991388,1162.3770555283074,8,77.35955721243919,86.60460455044245,11.950750070369695,REVIEW,BEST_iter04_gtr_prior
89,PG1351+640,PG 1351+640,2,-286.1411570333448,-493.6365748509283,-3,43.66737413774544,38.52646867576549,-11.772875203723833,REVIEW,BEST_iter04_trough1531_1546
90,LEDA 50824,LEDA   50824,3,-424.45852802229103,-424.45852802229103,0,83.65994515563871,83.63813548897758,-0.02606942500446691,carry over unchanged,BEST_iter01_gtr_prior
92,2MASS J08105865+7602424,2MASS J08105865+7602424,3,335.5125590520637,335.5125590520637,0,34.77872423766066,35.25257659423875,1.3624776841726907,"small shift, adopt replayed value",BEST_iter04_gtr_masks
93,2MASS J22484115-5109532,2MASS J22484115-5109532,2,-9.68066706248958,-9.68066706248958,0,135.54410745178194,135.27824319791122,-0.19614593276605163,"small shift, adopt replayed value",BEST_iter05_gtr_hand
94,LEDA 10293,LEDA   10293,3,473.48142602680343,473.48142602680343,0,70.75512838456794,70.76382924871223,0.01229714982212588,carry over unchanged,BEST_iter06_gtr_comps_high
95,LB 1727,LB  1727,3,59.38121176138286,-9.68066706248958,-1,120.97906789521332,120.69533069396748,-0.234534127417482,"small shift, adopt replayed value",BEST_iter01_gtr_prior
98,2MASS J12305003+0115226,2MASS J12305003+0115226,2,1849.685055631564,1918.3209851047052,1,16.0167770532874,16.930314939143464,5.703631153862909,"small shift, adopt replayed value",BEST_iter05_gtr_hand
99,LEDA 3095439,LEDA 3095439,2,-286.1411570333448,-493.6365748509283,-3,132.3617195998154,144.03497081160634,8.819204863070725,"small shift, adopt replayed value",BEST_iter07_gtr_hand
100,SWIFT J2325.6+2157,SWIFT J2325.6+2157,3,404.4969925394556,128.44309058521125,-4,163.24446917268062,166.2748538590253,1.8563475391862354,REVIEW,BEST_iter06_gtr_hand
101,LEDA 52314,LEDA   52314,2,59.38121176138286,128.44309058521125,1,81.61014220441074,59.464114237254705,-27.13636733003893,REVIEW,BEST_iter05_gtr_stismasks_z129
